"CATEGORY (do NOT modify)","TEXT TO TRANSLATE (do NOT modify)","TRANSLATION (edit this column)","NOTES (do NOT modify)"
"default","Hi,","",""
"default","Quote from {{title}}","",""
"default","Comment","",""
"default","Share:","",""
"default","Copy link","",""
"default","Copied","",""
"default","Read at the quote","",""
"default","Login code","",""
"default","Your login code: {{code}}","",""
"default","Enter this code into the native or web app.","",""
"default","Note: This code expires in 15 minutes.","",""
"enhanced","This launch link has expired.","",""
